index;date;country;confirmed;confirmed_DR;confirmed_filtered;confirmed_filtered_DR
347;2020-04-07;South Korea;10331.0;218.80851063829795;10331.8;174.4436898698343
348;2020-04-07;Israel;9568.0;22.140901771336566;9530.8;21.3322401811509
349;2020-04-07;China;83713.0;972.5077519379851;83763.4;795.2217997464819
350;2020-04-07;Germany;99225.0;25.414281276350252;99551.99999999997;20.670496416862512
351;2020-04-08;Israel;9906.0;26.727272727272737;9904.199999999999;24.035867643344247
352;2020-04-08;United States;441897.0;13.459347397938867;444565.1999999999;12.865527838879284
353;2020-04-08;Germany;103228.0;25.336565862787637;103914.19999999998;22.496017482385746
354;2020-04-08;China;83904.0;667.3837981407705;83871.4;776.3064565955508
355;2020-04-08;South Korea;10384.0;206.66000000000008;10374.399999999998;215.17083333333335
356;2020-04-09;South Korea;10423.0;225.63768115942037;10413.599999999999;253.62510187449288
357;2020-04-09;China;84006.0;572.5210466439138;83973.39999999998;798.7561904762459
358;2020-04-09;Germany;108202.0;23.07043927072891;108367.59999999998;23.581968328871536
359;2020-04-09;Israel;10249.0;29.09740577581988;10256.399999999998;27.27986034546129
360;2020-04-09;United States;477507.0;13.301116393942578;476548.3999999999;13.77094631586559
361;2020-04-10;China;84081.0;949.118644067797;84096.4;746.4924444444446
362;2020-04-10;Germany;113525.0;21.038813894014446;112618.39999999997;24.884553816931348
363;2020-04-10;South Korea;10450.0;315.7272727272729;10449.8;276.19628647214324
364;2020-04-10;United States;511790.0;13.651286013382364;507785.9999999999;15.06782156083652
365;2020-04-10;Israel;10607.0;29.255349500713276;10643.599999999999;27.774051032368607
366;2020-04-11;Israel;10952.0;30.16405879563775;11050.799999999997;26.813360187982557
367;2020-04-11;China;84163.0;1071.1252653927818;84202.59999999998;733.7766143106553
368;2020-04-11;South Korea;10480.0;366.70175438596493;10480.399999999998;312.81237524950444
369;2020-04-11;United States;540714.0;16.13756915109614;538239.5999999999;16.45371354963648
370;2020-04-11;Germany;117658.0;23.927312464749022;116575.99999999997;27.415980377824358
371;2020-04-12;Israel;11504.0;24.573021181716836;11469.199999999997;26.779392764857928
372;2020-04-12;South Korea;10512.0;338.0860215053764;10508.599999999999;356.4489795918412
373;2020-04-12;China;84328.0;681.7058029689609;84303.79999999999;811.966570234674
374;2020-04-12;Germany;120479.0;33.713162688141125;119955.19999999998;31.72587504088969
375;2020-04-12;United States;567022.0;19.548160486674398;567236.7999999999;18.090728243634498
376;2020-04-13;Germany;123016.0;44.93629463730248;122766.99999999997;38.69037850643408
377;2020-04-13;South Korea;10537.0;368.7602339181288;10536.799999999997;372.6453900709244
378;2020-04-13;United States;594165.0;21.22693058439818;594556.7999999998;20.12449956082099
379;2020-04-13;China;84435.0;619.9166666666669;84408.99999999999;816.9102067183119
